Dealer ID,DealerName,Clean Name,Report,Address,City,Key,TotalUnitsPurchased,RequiredUnits,PrimaryUnits,Primary%,SecondaryUnits,Secondary%,QualifyingUnits,Qualifying%,Non-QualifyingUnits,Non-Qualifying%
1811602,Seaview Tire & Brake Center,seaviewtirebrakecenter,Course,66 West Manor Dr,Pacifica,seaviewt66westmapacifica,254,0,254,100,0,0,253,99.61,1,0.39
1813501,Richards Tire Inc,richardstire,Course,1813 US 31 North,Petoskey,richards1813us31petoskey,1294,56,1235,95.44,59,4.56,1200,92.74,94,7.26
1809570,Leslie Tire Service,leslietireservice,Course,41600 Executive Drive,Harrison Township,leslieti41600exeharrison,1391,0,1391,100,0,0,1338,96.19,53,3.81
1803162,west 10 tire center inc,west10tirecenter,Course,108 route 10,succasunna,west10ti108routesuccasun,1193,0,1158,97.07,35,2.93,1155,96.81,38,3.19
1806576,Hornsby Tire,hornsbytire,Course,3300 JEFFERSON AVENUE,NEWPORT NEWS,hornsbyt3300jeffnewportn,422,0,422,100,0,0,402,95.26,20,4.74
1794644,Stone tire and automotive,stonetireandautomotive,Course,302 e beebe Capps ex,Searcy,stonetir302ebeebsearcy,283,0,283,100,0,0,240,84.81,43,15.19
1811726,Tire World Auto Repair Tire Pros,tireworldautorepairtirepros,Course,4420 Centennial Blvd.,Colorado Springs,tireworl4420centcolorado,1204,0,1201,99.75,3,0.25,1191,98.92,13,1.08
1808220,RDS AUTO SUPPLIES,rdsautosupplies,Course,1411 STATE ROUTE 147,DALMATIA,rdsautos1411statdalmatia,1219,0,1219,100,0,0,1211,99.34,8,0.66
1808186,Fender Tire & Wheel,fendertirewheel,Course,2 GILL ROAD,WEAVERVILLE,fenderti2gillroaweavervi,4690,0,4053,86.42,637,13.58,4114,87.72,576,12.28
1807810,Reedy Creek Tire & Auto,reedycreektireauto,Course,4866 N NC HWY 150,Lexington,reedycre4866nnchlexingto,934,0,906,97,28,3,704,75.37,230,24.63
1810720,R & J's Tires,rjstires,Course,5079 E Middletown Rd,New Middletown,rjstires5079emidnewmiddl,531,69,498,93.79,33,6.21,514,96.8,17,3.2
1807399,Cooper Bros Tire & Auto,cooperbrostireauto,Course,936 N Washington Ave,Green Brook,cooperbr936nwashgreenbro,1096,904,1096,100,0,0,842,76.82,254,23.18
1805230,dennis quick auto,dennisquickauto,Course,811 25th st,snyder,dennisqu81125thssnyder,695,0,695,100,0,0,659,94.82,36,5.18
1805584,RICHMONDTOWN SERVICE,richmondtownservice,Course,3310 RICHMOND ROAD,STATEN ISLAND,richmond3310richstatenis,222,0,222,100,0,0,135,60.81,87,39.19
1805988,Tire Country Inc.,tirecountry,Course,714 Union Rd,Gastonia,tirecoun714uniongastonia,1553,0,1505,96.91,48,3.09,1476,95.04,77,4.96
1807042,Ultimate Automotive,ultimateautomotive,Course,4707 E Arrowhead Parkway,SIOUX FALLS,ultimate4707earrsiouxfal,131,69,131,100,0,0,124,94.66,7,5.34
1805237,Weber Tires Inc,webertires,Course,1879 County Road V,Sun Prairie,webertir1879counsunprair,1313,0,1102,83.93,211,16.07,1254,95.51,59,4.49
1805422,Rockland Tire & Auto Service,rocklandtireautoservice,Course,109 ROUTE 59,Monsey,rockland109routemonsey,777,23,777,100,0,0,644,82.88,133,17.12
1811981,South Boston True Value,southbostontruevalue,Course,307 Broad St.,SOUTH BOSTON,southbos307broadsouthbos,730,0,635,86.99,95,13.01,685,93.84,45,6.16
1800105,McCullough Tire,mcculloughtire,Course,1900 Universal Road,Pittsburgh,mccullou1900univpittsbur,6067,0,4122,67.94,1945,32.06,5273,86.91,794,13.09
1806209,Douglas County AutoCare,douglascountyautocare,Course,2205 Fairburn Road,Douglasville,douglasc2205fairdouglasv,1060,0,1029,97.08,31,2.92,1009,95.19,51,4.81
1806564,TAYLORS FAMILY CAR CARE,taylorsfamilycarcare,Course,1434 Imlay City Road,LAPEER,taylorsf1434imlalapeer,266,0,228,85.71,38,14.29,213,80.08,53,19.92
1813226,JOHN DEERY MOTORS,johndeerymotors,Course,6823 UNIVERSITY AVENUE,CEDAR FALLS,johndeer6823univcedarfal,1115,0,1115,100,0,0,1089,97.67,26,2.33
1806878,Tetrault Tire Pros,tetraulttirepros,Course,4075 Broadway,Eureka,tetrault4075broaeureka,2075,0,2014,97.06,61,2.94,2059,99.23,16,0.77
1812688,AUTO TECH,autotech,Course,2304 FAIR RD.,SIDNEY,autotech2304fairsidney,111,0,111,100,0,0,106,95.5,5,4.5
1808300,Kimberly Tire,kimberlytire,Course,650 N. Rochester,Clawson,kimberly650nrochclawson,315,0,315,100,0,0,217,68.89,98,31.11
1806989,Cooperative Energy Company,cooperativeenergy,Course,1708 Pierce Ave,Sibley,cooperat1708piersibley,491,109,491,100,0,0,489,99.59,2,0.41
1813116,SPANIAL'S SERVICE CENTER,spanialsservicecenter,Course,45 W ORVILLA RD,HATFIELD,spanials45worvilhatfield,201,0,201,100,0,0,201,100,0,0
1811634,Best One Tire & Service of Sidney,bestonetireserviceofsidney,Course,120 S Stolle Ave,Sidney,bestonet120sstolsidney,519,81,505,97.3,14,2.7,447,86.13,72,13.87
1800376,Bargain Barn Tire Center,bargainbarntirecenter,Course,1811 Deadwood Ave,Rapid City,bargainb1811deadrapidcit,29,121,29,100,0,0,16,55.17,13,44.83
1812212,Warehouse Tire,warehousetire,Course,4459 Pontiac Lake Rd,waterford,warehous4459pontwaterfor,776,24,749,96.52,27,3.48,447,57.6,329,42.4
