Dealer Number,Dealer Name,Store Address Line 1,Store City
1799857, 4 Corner Tire,4189 ST.HWY 30,AMSTERDAM
1795412,1 STOP AUTO REPAIR,7110 SOUTH FM 148,KAUFMAN
1798898,160 PIT STOP,PO BOX 828,GAINESVILLE
1800902,231 TIRE AUTO & DIESEL,12800 Hwy 411 North,Odenville
1795342,3 C AUTOMOTIVE,5156 N. COUNTY RD 100E,OSGOOD
1796143,3 MAN AUTOMOTIVE,1215 ROSEWOOD DRIVE,COLUMBIA
1798741,3 Points Tire Service,1112 S Elm,Hastings
1798845,3-D Tire and Service Center,209 NORTH JACKSON STREET,GREENCASTLE
1799530,300 TIRE & AUTO REPAIR,210 SOUTH BUCKEYE STREET,WOOSTER
1800649,309 AUTO AND TIRE,7022 ROUTE 309,NEW TRIPOLI
1801185,32ND STREET NEW & USED TIRES,111 32ND STREET,ASHLAND
1799253,"3W SERVICE CENTER, LLC",896 US HWY 84 W,TEAGUE
1800922,4-K TIRE,502 North Main Street,DELPHOS
1800931,4-M SERVICE INC.,2168 STATE HIGHWAY E,ROCKY COMFORT
1800523,431 TIRE & AUTO SERVICE,4790 US HWY 431,ALEXANDRIA
1801051,46 Tire Service,3039 Highway 46 South,Dickson
1798327,49 Tire Mart,3338 SIMPSON HWY 49,MENDENHALL
1801017,548 TIRE LLC,5313 SEBRING WARNER,GREENVILLE
2027078,6th Ave Tire Center,309 6th Ave Sw,Birmingham
1798517,9th STREET TIRE,203 North 9th Street,STROUDSBURG
1798785,A & D TIRE CENTER,89 MACE PLACE,POTTSVILLE
1801250,A & J TOWING & REPAIR,29098 448TH AVE.,VIBORG
1799056,"A & M FAMILY TIRES, INC.",533 ROCHESTER ROAD,PITTSBURGH
1796170,A & M USED TIRES,5925 MACCORKLE AVE,SAINT ALBANS
1800981,"A & R TIRE CO., INC.",198 GREENFIELD ROAD,LANCASTER
1801082,A A AUTOMOTIVE,6034 RICHARD ST,JACKSONVILLE
1798147,A B & T Auto Parts,304 SOUTH 3RD STREET,RACINE
1800441,A ONE TIRE SALES & SERVICE,4847 EAST US HWY 84,DOTHAN
1800038,A PLUS AUTO CARE INC,1446 US Hwy 11,GOUVENEUR
1898577,A Plus Automotive Services Inc.,5021 Bill Gardner Pkwy,Locust Grove
1796010,A TO Z AUTO REPAIR,500 MEADOWLARK PLACE,ALABASTER
1795890,"A&A TIRE, LLC",4099 NORTH VALLEY PIKE,ROCKINGHAM
1794822,A&B Tire,1183 Central Street,Leominster
1798925,A&D TIRE,103 W Canal st,OTTOVILLE
1796663,A&E TIRE & AUTO,61 SOUTH SHORE DRIVE,NEW MILFORD
1799666,A&E TIRE AND AUTO DBA THE TIRE STORE,1905 E. STATE RD. 14,ROCHESTER
1801117,A&J EXHAUST & TIRE,PO BOX 723,WOOSTER
1799264,A&J Tire,2300 CLEARWATER DRIVE,LAWRENCEBURG
1796887,A&M SERVICE CENTER,1172 TUSCARAWAS AVE NW,NEW PHILADELPHIA
1794284,A&R TIRE,P0 B0X 291,MORRISVILLE
1923044,A's Auto & Truck Repair,112 Whipple Dr,Guilford
1970943,A-1 Auto,748 E Patteron Street,Lansford
1793917,A-1 AUTO & TIRE,1249 WAPAKONETA AVE.,SIDNEY
1932274,A-1 Tire,1515 Bridge Ave,Northport
1796641,A-1 TIRE & ALIGNMENT,63 HWY 72 WEST,ABBEVILLE
1794656,A-LANE TIRE,PO BOX 115,CONWAY
2020785,A-Team Auto Service LLC,1876 E. Old Lincoln Highway,Langhorne
1799429,A.K. TIRES LLC,PO BOX 354122,PALM COAST
1796831,A1 QUALITY TIRE,400 EAST 3RD ST.,MUSCATINE
1800296,A2 AUTO,736 MORGANTON BLVD,LENOIR
1797937,AAA CAR CARE PLUS,8120 MAIN STREET,WILLIAMSVILLE
1798361,AAAA Tires,200 S JEFFERSON ST,KITTANANING
1904653,Aarons Muffler & Auto,1232 Windgate Drive,Fancy Gap
1904653,Aarons Muffler & Auto,1232 Windgate Drive,Fancy Gap
1799605,ABBOTTS AUTO CENTER LLC,1979 MARION MARYSVILLE RD.,MARION
1793735,ABC AUTO PARTS,213 W ROY FURMAN HWY,WIND RIDGE
1793660,ABC DAYTON TIRE SALES,601 S Washington ,MAGNOLIA
1983782,ABC Tire Shop,115 E Grant Avenue,Georgetown
1798055,ABELOFF NISSAN,3259 ROUTE 611,ALTEMOSE
1795093,ABERCROMBIE COMMERICAL TIRE SERVICE LLC.,PO BOX 18334,HUNTSVILLE
1800311,ABNEY'S TIRE & LUBE,47 HWY 49 SOUTH,VIBURNUM
2027116,ABOVE & BEYOND AUTOMOTIVE LLC,2106 N MAIN STREET,SUMMERVILLE
1798827,Abs Tire Service LLC,6600 W 650 N,BRYANT
1797483,ACADIAN TIRE & TRAILER SALES LLC,604 NORTH MARKET STREET,OPELOUSAS
1799517,ACCESSORIES LTD,1009 FIRST  STREET,MOUNDSVILLE
1931636,Ace Elder Automotive,18698 State Hwy P,Canton
1799671,ACE HARDWARE,1518 N. OAK ST.,PEARSALL
1799523,ACE PARKER TIRE,PO BOX 131,SUMTER
1798685,ACKLEY AUTO REPAIR,956 MIDDLE LAKE RD,DERUYTER
1800408,ACSPORT INC,PO BOX 15633,LITTLE ROCK
1799644,ACTION TIRE,PO BOX 1002,GRAYSON
1800216,Adam Zuker Tire Co.,113 Prior St.,Cedartown
1793950,ADAMARK REPAIR LLC,1725 190TH STREET HIGHWAY 35,CENTURIA
1800837,ADAMS AUTO GROUP,1400 E. BOULEVARD,KOKOMO
1797436,ADAMS CUSTOM WHEELS & TIRES,PO BOX 126,BURNSVILLE
1801194,ADAMS TIRE & BATTERY,1350 ALLEGHENY AVE,READING
1798820,ADDISON TIRE SERVICE,26041 US HIGHWAY 12,EDWARDSBURG
1799237,Adel Tire,215 N. Hutchinson Ave.,Adel
1800636,ADEL TIRE & SERVICE INC.,509 GREENE ST.,ADEL
1794195,ADVANCED AUTO CARE CENTER,3820 SW ARCHER RD,GAINESVILLE
1799590,ADVANCED AUTOMOTIVE & TOWING,201 2nd Ave. Southeast,BROWNING
1793803,ADVANTAGE TIRE,6331 HWY 90 EAST,LAKE CHARLES
1799386,ADVANTAGE TIRE & AUDIO,19970 COUNTY ROAD 6,COSHOCTON
1795145,ADVANTAGE TIRE & SERVICE DBA BRADS TIRE & AUTOMOT,3818 DAKOTAS PLACE,SPRINGDALE
1793789,"ADVANTAGE TIRE, INC.",2930 N PACIFIC HWY,MEDFORD
1794259,AFFORDABLE AUTO TECH,12497 COUNTY RD 8,WOODVILLE
1796844,AFFORDABLE AUTOMOTIVE OF ANDOVER,34 CHESTNUT STREET,ANDOVER
1794265,AFFORDABLE TIRE,1841 SOUTH PRAIRIE VIEW ROAD,CHIPPEWA FALLS
1797541,AFFORDABLE TIRE STORE,1503 FAIRFIED AVE,GOSHEN
1797414,Affordable Tires,1313 SWEITZER STREET,GREENVILLE
1799938,After Hours Tires,701 NORTH STREET,ENDICOTT
1796161,AG TIRE SALES & SERVICE,12996 TROY CENTER RD,CENTERVILLE
1794926,AGLAND COOP,115 S. 1ST ST.,PACKSTON
1796168,AGRI CO-OP SUPPLY,PO BOX 678,MORRILTON
1799171,AIKEN DISCOUNT TIRE & AUTO SERVICE,1104 RICHLAND AVE E,AIKEN
1796864,AIRWAYS TIRE & ALIGNMENT CO.,2050 AIRWAYS BLVD.,MEMPHIS
1794433,AJ'S STATION,221 E WARREN ST,ST JOSEPH
1796563,AK TIRES,31235 OUTER HIGHWAY 10 SOUTH,REDLANDS
1796537,AL CHAFFEE TIRE,987 MILL RD,HELENA
1797495,AL'S MOTORWORKS,3556 BETHOVEN STREET,PITTSBURGH
1795191,ALAMO TIRE INC,99 N CAVALIER DR,ALAMO
1982941,Alan Jones & Sons,150 Ayers Street,Barre
1799537,ALAN'S CUSTOM MUFFLER,1901 SOUTH BROADWAY,POPLAR BLUFF
1933413,Albert Automotive,621 Flat Rock Dr,Paulding
1800598,ALBERTS TIRE,101 EAST CARSON ST,PITTSBURGH
1798202,ALBERTVILLE DISCOUNT TIRE,221 N BROAD ST,ALBERTVILLE
1794420,ALBORN TIRE SALES,327 LAWRENCE AVE,ELLWOOD CITY
1799999,ALFORDS TIRE SERVICE,574 N MAIN ST,DYER
1798118,ALFRED AUTO CENTER,6989 RT 21,ALMOND
1795178,ALIGNMENT TIRE & BRAKE OF MERIDIAN LLC,413 12th AVE,MERIDIAN
1801007,ALL AMERICAN TIRE,1329 COLLEGE ST,CLARKSVILLE
1797092,ALL IN ONE TIRE & AUTO CENTER,1540 HARMONY DR.,TIPP CITY
1797725,ALL PRO AUTO SERVICE INC.,2620 WEST MAPLE AVE,LANGHORNE
1797231,All Season Tire,7443 State Rt 415 North,Bath
1797787,ALL SEASON TIRE CO. INC.,9400 LYNDALE AVE. S,BLOOMINGTON
1797509,ALL WEATHER TIRE SALES & SERVICE,100 DEPOT ROAD,HUNTINGTON STATION
1798461,ALL WHEELS DRIVEN,12461 ROUTE 6,WELLSBORO
1971884,All-Timate Auto Care,340 Industrial Blvd,New Kensington
1796567,ALLEN TIRE & WRECKER SERVICES,942 W Washington St,PITTSFIELD
1800140,ALLEN TIRE SERVICE,3283 HARDING HIGHWAY,LIMA
1796047,ALLEN'S TIRE,113 E. 7TH ST.,RUSK
1796568,ALLEN'S TIRE SERVICE INC.,2327 E. 5TH ST.,TYLER
1795632,ALLENS DISCOUNT TIRE,PO BOX 578,COWEN
1795302,ALLENTOWN KIA,2350 LEHIGH ST,ALLENTOWN
1800646,ALLEY AUTO SALES,515 NILE KINNICK DRIVE N,ADEL
1800816,ALLIANCE DISCOUNT TIRE CENTER,456 E STATE ST,ALLIANCE
1793738,ALLIED DISCOUNT TIRE & BRAKE INC,PO BOX 80429,LAFAYETTE
1793737,ALLIED DISCOUNT TIRE & BRAKE INC,P O BOX 80429,LAFAYETTE
1793739,ALLIED DISCOUNT TIRE & BRAKE INC,P O BOX 80429,LAFAYETTE
1898569,Allstar Alignment And Tire LLC,3533 E US HIGHWAY 80,ABILENE
1932262,Almena Lumber and Supply,611 Main Street,Almena
1932367,Almost Heaven Auto Repair LLC,12 commercial Dr,Charleston
1797900,ALPINE MEADOWS TIRE LLC,722 RAGERSVILLE ROAD NW,SUGARCREEK
1797529,ALPINE MOTOR CO.,P O Box 203,RINDGE
1796329,ALRAY TIRE OF BOONE INC,124 REALTY ROW,BOONE
1800149,ALS AUTO PARTS AND SERVICE INC.,1301 N SHERMAN STREET,YORK
1794450,ALTHA FARMERS CO-OP,756 HWY 71,MARIANNA
1794654,AMERICAN AUTO & TIRE SERVICE,2626 SLOW FLIGHT DRIVE,PORT ORANGE
1801453,American Muffler & Towing,827 N 9TH ST,GALLUP
1800198,AMERICAN TIRE CENTER,1626 PORTAGE ST NW,NORTH CANTON
1797113,AMERICAN TIRE DEPOT,14407 ALONDRA BLVD,LA MIRADA
1798809,American Tire Inc.,121 Banjo Street,Bardstown
1796368,AMERICAN WHEEL AND TIRE,11350 NW FWY,HOUSTON
1800797,ANDERSON TIRE,PO BOX 707,LOCUST GROVE
1797290,"ANDOVER DISCOUNT TIRES, LLC",529 ROUTE 206 NORTH,NEWTON
1797897,ANDY'S TIRE & AUTO CENTER,P0 B0X 582,SMITHTON
1795370,ANDY'S TIRE & AUTO LLC,653 WALNUT STREET,EAST LIVERPOOL
1798337,Anna Tire & Auto Center,90 Richview Dr.,Anna
1794536,ANTHONY FARMERS COOPERATIVE ELEVATOR CO,PO BOX 111,ANTHONY
1797746,Anthony Wayne Tire & Auto,7952 MONCLOVA RD.,MONCLOVA
1800790,APPERSON AUTOMOTIVE,1601 APPERSON DR,SALEM
1800790,APPERSON AUTOMOTIVE,1601 APPERSON DR,SALEM
1796936,APPLE AVE TIRE WHOLESALERS PLUS,2761 E. APPLE,MUSKEGAN
1799897,ARAB WHOLESALE TIRE,64 N BRINDLEE MNT. PARKWAY,ARAB
1794604,ARANDAS TIRE & RIM - GRAND,4505 W. GRAND AVE.,CHICAGO
1796746,ARANDAS TIRE SALES & REPAIR IV,2040 DRAGOON CT.,DETROIT
1799444,ARCADIA COOP,W206 A THEUER LANE,ARCADIA
1799922,ARCADIA FARM AND HOME,1475 E. WILSON AVE.,ARCADIA
1793868,ARCH STREET WHEEL & TIRE,11602 ARCH STREET,LITTLE ROCK
1800118,ARKANSAS TIRE & AUTO,2304 E MAIN,RUSSELLVILLE
1798654,ARKANSAS TIRE CO.,126 GOLF LINKS RD.,HOT SPRINGS
1799569,Arlington Car Care,1897 NORTHWEST BLVD.,COLUMBUS
1801165,Armstrong Tire,4315 BOURBON RD,MUSCOTAH
1797038,ARNESON TIRE,100 GLETTY RD.,SANDWICH
1795784,ARNOLD TIRE AND AUTO CARE,372 W STOCKTON ST,SONORA
1800782,ARROW AUTOMOTIVE SERVICE,8047 SALTSBURG RD,PITTSBURGH
1799657,ARROWHEAD AUTOMOTIVE CENTER,70500 EAST 128 RD. STE 1,WYANDOTTE
1797833,Art's Muffler & Tire,212 E. FAYETTE,CELINA
1799736,ASAP AUTO CARE,112 16th st,wheeling
1798782,ASH FLAT CONOCO,692 Ash Flat Dr,ASH FLAT
1793816,"ASHVILLE AUTO & FORKLIFT, LLC",36215 US HWY 231,ASHVILLE
1796299,ASPY TIRE,14808 MINNICH ROAD,HOAGLAND
1800520,ASSELYN'S GARAGE,1295 HALLOWELL RD,DURHAM
1796103,AUDIO IMAGES,3300 DIXIE HIGHWAY NE,PALM BAY
1799531,AUGUSTA AUTO PARTS & SERVICE,15901 NORTHWESTERN PIKE,AUGUSTA
1794577,AUGUSTA COOP,P O BOX 131,FAIRFEILD
1799802,AUGUSTA TIRE & AUTO,250 INDUSTRIAL DRIVE,AUGUSTA
1797336,AUKERMAN'S AUTO & TIRE SERVICE,321 ORANGE ST.,UNION CITY
1794329,AURORA CO-OP TIRE CENTER,1313 L ST.,AURORA
1794414,AURORA TIRE CENTER,214 IMPORTING STREET,AURORA
1794104,AUSTIN'S AUTO SERVICE,1843 WEST BROAD ST.,BETHLEHEM
1800065,AUTO ACCESSORIES UNLIMITED,5600 HUETTNER DRIVE,NORMAN
1801318,AUTO AND TRUCK OUTFITTERS,2207 EAST JOPPA RD,PARKVILLE
1794091,AUTO BIZ LLC DBA 78 TIRE,600 FORESTDALE BLVD.,BIRMINGHAM
1801059,"AUTO BLVD, LLC",11300 North Interstate 35,SAN ANTONIO
1797471,AUTO CHOICE,1201 LAFAYETTE AVE,MOUNDSVILLE
1793771,AUTO CITY SERVICE CENTER,110 LINCOLN DRIVE,HODGENVILLE
