,DealerNbr,DealerName,Clean Name,Report,Address1,City
1,1793624,bergs garage inc,woolseystire,Performance,,
2,1793629,woolseys tire,winnscollision,Performance,,
3,1793631,winns collision,winnscollision,Performance,,
4,1793631,winns collision,caledoniagarage,Performance,,
5,1793632,caledonia garage inc,caledoniagarage,Performance,,
6,1793632,caledonia garage inc,brittstire,Performance,,
7,1793635,britt's tire ltd,brittstire,Performance,,
8,1793635,britt's tire ltd,leonardautomotive,Performance,,
9,1793640,leonard automotive llc,leonardautomotive,Performance,,
10,1793640,leonard automotive llc,quadei,Performance,,
11,1793652,quadei corporation,quadei,Performance,,
12,1793652,quadei corporation,redlinefinishingllc,Performance,,
13,1793671,redline finishing llc.,yellowstonedinoluberepair,Performance,,
14,1793675,yellowstone dino lube & repair,yellowstonedinoluberepair,Performance,,
15,1793675,yellowstone dino lube & repair,forbesauto,Performance,,
16,1793597,forbes auto inc,forbesauto,Performance,,
17,1793597,forbes auto inc,forbesauto,Performance,,
18,1793597,forbes auto inc,laporttirecenter,Performance,,
19,1793598,la port tire center,electricmotorservice,Performance,,
20,1793605,electric motor service,scottsserviceplace,Performance,,
21,1793606,scott's service place,grandetireco,Performance,,
22,1793607,"grande tire co., inc.",americanautotireservice,Performance,,
23,1793612,american auto & tire service,stanstirecenter,Performance,,
24,1793613,stan's tire center,hawleygarage,Performance,,
25,1793617,hawley garage,hawleygarage,Performance,,
26,1793617,hawley garage,hawleygarage,Performance,,
27,1793617,hawley garage,bergsgarage,Performance,,
28,1793624,bergs garage inc,bergsgarage,Performance,,
29,1793624,bergs garage inc,casteelstire,Performance,,
30,1793627,casteel's tire,brittstire,Performance,,
31,1793635,britt's tire ltd,brittstire,Performance,,
32,1793635,britt's tire ltd,kiddstireauto,Performance,,
33,1793646,kidds tire & auto,quadei,Performance,,
34,1793652,quadei corporation,quadei,Performance,,
35,1793652,quadei corporation,abcdaytontiresales,Performance,,
36,1793660,abc dayton tire sales,abcdaytontiresales,Performance,,
37,1793660,abc dayton tire sales,abcdaytontiresales,Performance,,
38,1793660,abc dayton tire sales,ralphstires,Performance,,
39,1793663,ralphs tires inc.,ralphstires,Performance,,
40,1793663,ralphs tires inc.,tonystireservice,Performance,,
41,1793665,tony's tire service,budgettire,Performance,,
42,1793907,"budget tire, inc",budgettire,Performance,,
43,1793907,"budget tire, inc",budgettire,Performance,,
44,1793907,"budget tire, inc",ramstireservice,Performance,,
45,1793911,ram's tire service,slusherfarmhome,Performance,,
46,1793915,slusher farm & home,slusherfarmhome,Performance,,
47,1793915,slusher farm & home,a1autotire,Performance,,
48,1793917,a-1 auto & tire,wesrogerstireauto,Performance,,
49,1793919,wes rogers tire & auto inc,pittsfordgastire,Performance,,
50,1793921,pittsford gas & tire,pittsfordgastire,Performance,,
51,1793921,pittsford gas & tire,shelbytireautocare,Performance,,
52,1793924,shelby tire & auto care,samsservicecenter,Performance,,
53,1793859,sam's service center,archstreetwheeltire,Performance,,
54,1793868,arch street wheel & tire,archstreetwheeltire,Performance,,
55,1793868,arch street wheel & tire,archstreetwheeltire,Performance,,
