,DealerName,Clean Name,Report,Address,City
0,Firebox Research,fireboxresearch,Course,25151 Hilltop Drive,Beachwood
1,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay
2,Firebox Research,fireboxresearch,Course,4029 E La Puente Ave,Phoenix
3,Xcelerate Media,xceleratemedia,Course,61 W. Bridge Street,Dublin
4,Staples,staples,Course,8610 Page Ave.,St. Louis
5,Staples Promotional Products,staplespromotionalproducts,Course,8610 Page Ave,
6,Firebox Research & Strategy,fireboxresearchstrategy,Course,unknown,unknown
7,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay
8,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay
9,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay
10,Cooper Tire,coopertire,Course,701 Lima Ave,findlay
11,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay
12,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay
13,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay
14,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay
15,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay
16,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay
17,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay
18,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay
19,Cooper Tire,coopertire,Course,123 S. Oak Street,Hillsdale
20,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay
21,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay
22,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay
23,Cooper Tire,coopertire,Course,701 Lima,Findlay
24,Cooper Tire,coopertire,Course,701 Lima Ave.,Findlay
25,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay
26,Cooper Inside Sales Team,cooperinsidesalesteam,Course,1800 Westwood Blvd,Wausau
27,Cooper Inside Sales Team,cooperinsidesalesteam,Course,1800 Westwood Blvd,Wausau
28,Cooper Inside Sales Team,cooperinsidesalesteam,Course,1800 Westwood Boulevard,Wausau
29,Cooper Inside Sales Team,cooperinsidesalesteam,Course,1800 Westwood Blvd,Wausau
30,Cooper Inside Sales Team,cooperinsidesalesteam,Course,1800 Westwood Blvd.,Wausau
31,Cooper Tire,coopertire,Course,223 King Farm Blvd,Rockville
32,Cooper Tire & Rubber,coopertirerubber,Course,4832 Greenburg Drive,St.Charles
33,Cooper Tire,coopertire,Course,7896 East Hwy U.S. 10,Branch
34,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay
35,Cooper Tire Company,coopertirecompany,Course,701 Lima Ave.,Findlay
36,Cooper Tire Co,coopertireco,Course,P.O. Box 9060,Woodland Park
37,Cooper Tire,coopertire,Course,701 Lima Avenue,Findlay
38,Cooper Tire,coopertire,Course,750 Lima Ave.,Findlay
39,Cooper Tire,coopertire,Course,701 Lima Ave.,Findlay
40,Cooper Tire & Rubber Company,coopertirerubbercompany,Course,701 Lima Ave,Findlay
41,Cooper Tire,coopertire,Course,701 Lima Avenue,Findlay
42,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay
43,Cooper Tire & Rubber,coopertirerubber,Course,701 Lima Ave,Findlay
