,Id,Name,Address1,City,Clean Name,Report,Key
1,2006272,waterbury center auto repair,224 howard ave,waterbury center,tirelink,Performance,waterbur224howarwaterbur
2,2006273,"tirelink, llc",23020 n freeway service rd,spring,frankstireservice,Performance,tirelink23020nfrspring
3,2006274,frank's tire service,3890 boston rd,bronx,pumphousecarwashlube,Performance,franksti3890bostbronx
4,2006275,pumphouse car wash & lube,po box 1892,leadville,roadrunnertireservicecenter,Performance,pumphouspobox189leadvill
5,2006276,road runner tire & service center,2735 n. main,paris,hayscartruck,Performance,roadrunn2735nmaiparis
6,2006277,hays car & truck,710 e 8th,hays,lakesidetire,Performance,hayscart710e8thhays
7,2006278,lakeside tire,48 lakeside blvd,hopatcong,billyrayledfordtirecenter,Performance,lakeside48lakesihopatcon
8,2006279,billy ray ledford tire center,9731 hwy 294,murphy,franklinsautoservice,Performance,billyray9731hwy2murphy
9,2006280,franklin's auto service,101 ham lane,uvalde,taylorsautomotive,Performance,franklin101hamlauvalde
10,2006281,"taylor's automotive, inc.",334 barton-orleans rd.,barton,northeasttire,Performance,taylorsa334bartobarton
11,2006282,"northeast tire, inc.",10190 w. main rd.,north east,marksshenandoahtireauto,Performance,northeas10190wmanortheas
12,2006283,mark's shenandoah tire & auto,1101 w sheridan ave,shenandoah,laniertire,Performance,marksshe1101wsheshenando
13,2006284,lanier tire,1470 ventura drive,cumming,jandzautorepair,Performance,lanierti1470ventcumming
14,2006285,j and z auto repair inc,438 crossen ave,elk grove village,tiresofsilverspring,Performance,jandzaut438crosselkgrove
15,2006286,tires of silver spring,4420 winding oak dr,olney,toddstire,Performance,tiresofs4420windolney
16,2006287,todds tire,21321 219th st,tonganoxie,bolicktire,Performance,toddstir21321219tonganox
17,2006288,bolick tire,4010 hwy 321-a,hudson,tsoil,Performance,bolickti4010hwy3hudson
18,2006289,t & s oil company,po box 878,moosup,millertireandrepair,Performance,tsoilcompobox878moosup
19,2006290,miller tire and repair,208 e main st,samson,tiresunlimitedii,Performance,millerti208emainsamson
20,2006291,tires unlimited ii,200 w wade hampton blvd,greer,southpacificautosales,Performance,tiresunl200wwadegreer
21,2006292,south pacific auto sales,5040 pacific blvd sw,albany,teepeetire,Performance,southpac5040pacialbany
22,2006293,tee pee tire inc,10800 sw 91st ave,ocala,bartonsbodyshop,Performance,teepeeti10800sw9ocala
23,2006294,bartons body shop,3474 us hwy 150,alpha,baileysautoservice,Performance,bartonsb3474ushwalpha
24,2006295,baileys auto service,703 n. main st.,farmville,abecarcarecenter,Performance,baileysa703nmainfarmvill
25,2006296,a-b-e car care center,6548 vixen ct,new tripoli,larkinsbrotherstires,Performance,abecarca6548vixenewtripo
26,2006297,larkins brothers tires,370 south van ness,san francisco,meadowstire,Performance,larkinsb370southsanfranc
27,2006298,meadows tire company,2897 citizens pkwy,selma,homerspartsandaccessories,Performance,meadowst2897citiselma
28,2006299,homers parts and accessories,9301 rich patch rd,covington,roystire,Performance,homerspa9301richcovingto
29,2006300,roys tire,383 troy st at roy parker road,ozark,forestgroveauto,Performance,roystire383troysozark
30,2006301,forest grove auto,4010 byron rd,hudsonville,snyderbrothersautomotive,Performance,forestgr4010byrohudsonvi
31,2006302,"snyder brother's automotive, inc.",4695 campbells run rd,pittsburgh,islandtire,Performance,snyderbr4695camppittsbur
32,2006303,island tire llc,12 co rd 11 nw,pine island,kwiklube10minuteoilchange,Performance,islandti12cord11pineisla
33,2006304,kwik lube 10 minute oil change,6518 greensboro rd.,ridgeway,onawaytire,Performance,kwiklube6518greeridgeway
34,2006305,onaway tire,p.o. box 352,onaway,luckytirewheel,Performance,onawaytipobox352onaway
35,2006306,lucky tire & wheel,8 alameda blvd.,west sacramento,calvarytirebrake,Performance,luckytir8alamedawestsacr
36,2006307,calvary tire & brake,6001 sonoma hwy.,santa rosa,jackhamiltontire,Performance,calvaryt6001sonosantaros
37,2006308,jack hamilton tire,401 w. main street,brownfield,autoselectappletonexpressct,Performance,jackhami401wmainbrownfie
38,2006309,auto select - appleton express ct,3333 e express ct,appleton,freewayautocenterllckiaofduluth,Performance,autosele3333eexpappleton
39,2006310,freeway auto center llc - kia of duluth,3450 doan rd,barnum,cutrateauto,Performance,freewaya3450doanbarnum
40,2006311,cut rate auto,1368 imlay city rd,lapeer,tonystireservice,Performance,cutratea1368imlalapeer
41,2006312,tonys tire service,7200 s. 28th st.,fort smith,bestvaluewheeltire,Performance,tonystir7200s28tfortsmit
42,2006313,best value wheel & tire,4380 w 2100 s,salt lake city,bearrivervalleycoop,Performance,bestvalu4380w210saltlake
43,2006314,bear river valley co-op,193 east jefferson ave,hayden,thetirecenter,Performance,bearrive193eastjhayden
44,2006315,the tire center inc,1 pearl st,johnstown,customautomotive,Performance,thetirec1pearlstjohnstow
45,2006316,custom automotive,4548 us hwy 62,calvert city,sanborntireauto,Performance,customau4548ushwcalvertc
46,2006317,sanborn tire & auto,355 river street,haverhill,klahanieservicecenter,Performance,sanbornt355riverhaverhil
47,2006318,klahanie service center,4598 klahanie drive s.e.,issaquah,mytirestore,Performance,klahanie4598klahissaquah
48,2006319,my tire store,24953 railroad ave,newhall,coastaltire,Performance,mytirest24953rainewhall
49,2006320,coastal tire,608 vinson blvd.,whiteville,tttireservice,Performance,coastalt608vinsowhitevil
50,2006321,t & t tire service,po box 865,elizabethtown,superiortireservice,Performance,tttiresepobox865elizabet
51,2006322,superior tire & service,1213 north 16th street,orange,proctormotor,Performance,superior1213nortorange
52,2006323,proctor motor company,p.o. box 230,tallahassee,hondaofgainesville,Performance,proctormpobox230tallahas
53,2006324,honda of gainesville,3801 n main st,gainesville,hondaoftheavenues,Performance,hondaofg3801nmaigainesvi
54,2006325,honda of the avenues,185 east new england dr,elkton,holmesbeachautomotiveservice,Performance,hondaoft185eastnelkton
55,2006326,holmes beach automotive service,5333 gulf dr,holmes beach,acmetireauto,Performance,holmesbe5333gulfholmesbe
56,2006327,acme tire & auto inc.,8367 belding rd,rockford,qualitytire,Performance,acmetire8367beldrockford
57,2006328,quality tire,po bx 13666,roanoke,schillingtire,Performance,qualitytpobx1366roanoke
58,2006329,schilling tire,116 w second st,muenster,clearviewtireautoservice,Performance,schillin116wsecomuenster
