,Name,Clean Name,Report,Address,City,Key,Count of Courses
0,Firebox Research,fireboxresearch,Course,25151 Hilltop Drive,Beachwood,fireboxr25151hilbeachwoo,53
1,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,5
2,Firebox Research,fireboxresearch,Course,4029 E La Puente Ave,Phoenix,fireboxr4029elapphoenix,3
3,Xcelerate Media,xceleratemedia,Course,61 W. Bridge Street,Dublin,xcelerat61wbridgdublin,0
4,Staples,staples,Course,8610 Page Ave.,St. Louis,staples8610pagestlouis,0
5,Staples Promotional Products,staplespromotionalproducts,Course,8610 Page Ave,,,0
6,Firebox Research & Strategy,fireboxresearchstrategy,Course,unknown,unknown,fireboxrunknownunknown,2
7,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,6
8,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,12
9,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,45
10,Cooper Tire,coopertire,Course,701 Lima Ave,findlay,cooperti701limaafindlay,26
11,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,31
12,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,1
13,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,3
14,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,86
15,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,15
16,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,41
17,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,2
18,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,14
19,Cooper Tire,coopertire,Course,123 S. Oak Street,Hillsdale,cooperti123soakshillsdal,47
20,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,25
21,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,1
22,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,3
23,Cooper Tire,coopertire,Course,701 Lima,Findlay,cooperti701limafindlay,15
24,Cooper Tire,coopertire,Course,701 Lima Ave.,Findlay,cooperti701limaafindlay,0
25,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,0
26,Cooper Inside Sales Team,cooperinsidesalesteam,Course,1800 Westwood Blvd,Wausau,cooperin1800westwausau,2
27,Cooper Inside Sales Team,cooperinsidesalesteam,Course,1800 Westwood Blvd,Wausau,cooperin1800westwausau,29
28,Cooper Inside Sales Team,cooperinsidesalesteam,Course,1800 Westwood Boulevard,Wausau,cooperin1800westwausau,2
29,Cooper Inside Sales Team,cooperinsidesalesteam,Course,1800 Westwood Blvd,Wausau,cooperin1800westwausau,88
30,Cooper Inside Sales Team,cooperinsidesalesteam,Course,1800 Westwood Blvd.,Wausau,cooperin1800westwausau,4
31,Cooper Tire,coopertire,Course,223 King Farm Blvd,Rockville,cooperti223kingfrockvill,14
32,Cooper Tire & Rubber,coopertirerubber,Course,4832 Greenburg Drive,St.Charles,cooperti4832greestcharle,61
33,Cooper Tire,coopertire,Course,7896 East Hwy U.S. 10,Branch,cooperti7896eastbranch,1
34,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,0
35,Cooper Tire Company,coopertire,Course,701 Lima Ave.,Findlay,cooperti701limaafindlay,1
36,Cooper Tire Co,coopertire,Course,P.O. Box 9060,Woodland Park,coopertipobox906woodland,6
37,Cooper Tire,coopertire,Course,701 Lima Avenue,Findlay,cooperti701limaafindlay,43
38,Cooper Tire,coopertire,Course,750 Lima Ave.,Findlay,cooperti750limaafindlay,12
39,Cooper Tire,coopertire,Course,701 Lima Ave.,Findlay,cooperti701limaafindlay,14
40,Cooper Tire & Rubber Company,coopertirerubber,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,6
41,Cooper Tire,coopertire,Course,701 Lima Avenue,Findlay,cooperti701limaafindlay,51
42,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,2
43,Cooper Tire & Rubber,coopertirerubber,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,16
44,Cooper Tire,coopertire,Course,701 Lima Avenue,Findlay,cooperti701limaafindlay,27
45,Cooper Tire,coopertire,Course,2707 Elizondo Ave,Simi Valley,cooperti2707elizsimivall,68
46,Cooper Tire and Rubber,coopertireandrubber,Course,731 Lima Ave,findlay,cooperti731limaafindlay,24
47,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,2
48,Cooper Tire,coopertire,Course,box 550,Findlay,coopertibox550findlay,16
49,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,13
50,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,13
51,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,23
52,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,1
53,Cooper Tire,coopertire,Course,701 Lima Avenue,Findlay,cooperti701limaafindlay,2
54,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,25
55,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,10
56,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,30
57,Butler Learning Systems,butlerlearningsystems,Course,1235 W Dorothy Lane,Dayton,butlerle1235wdordayton,4
58,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,5
59,Cooper Tire,coopertire,Course,301 Lafayette St. Suite 3,Salem,cooperti301lafaysalem,15
60,Cooper Tire,coopertire,Course,72 Coral Root Lane,Eastsound,cooperti72coralreastsoun,1
61,Cooper Tire,coopertire,Course,4361 City Terrace Dr,Los Angeles,cooperti4361citylosangel,40
62,Cooper Tire & Rubber Company,coopertirerubber,Course,159 North Adams Street,Manchester,cooperti159northmanchest,11
63,Test Tire,testtire,Course,1234 Main St.,Columbus,testtire1234maincolumbus,9
64,Cooper Tire Mexico,coopertiremexico,Course,8999 Wayne St,Findlay,cooperti8999waynfindlay,2
65,Main Street Tires,mainstreettires,Course,16145 main street,lower lake,mainstre16145mailowerlak,27
66,LAKELAND COOPERATIVE,lakelandcooperative,Course,302 KNAPP ST,CHETEK,lakeland302knappchetek,64
67,POMPENDER'S AUTO,pompendersauto,Course,2852 RTE.20/ P.O. BOX 108,SHERIDAN,pompende2852rte2sheridan,15
68,Dannys Tire & Quick Lube,dannystirequicklube,Course,2053 S Shady St,Mountain City,dannysti2053sshamountain,2
69,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay,1
70,Super Tire and Muffler,supertireandmuffler,Course,,,,0
