,DealerName,Clean Name,Report,Address,City,Key
0,Firebox Research,fireboxresearch,Course,25151 Hilltop Drive,Beachwood,fireboxr25151hilbeachwoo
1,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
2,Firebox Research,fireboxresearch,Course,4029 E La Puente Ave,Phoenix,fireboxr4029elapphoenix
3,Xcelerate Media,xceleratemedia,Course,61 W. Bridge Street,Dublin,xcelerat61wbridgdublin
4,Staples,staples,Course,8610 Page Ave.,St. Louis,staples8610pagestlouis
5,Staples Promotional Products,staplespromotionalproducts,Course,8610 Page Ave,,
6,Firebox Research & Strategy,fireboxresearchstrategy,Course,unknown,unknown,fireboxrunknownunknown
7,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
8,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
9,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
10,Cooper Tire,coopertire,Course,701 Lima Ave,findlay,cooperti701limaafindlay
11,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
12,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
13,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
14,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
15,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
16,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
17,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
18,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
19,Cooper Tire,coopertire,Course,123 S. Oak Street,Hillsdale,cooperti123soakshillsdal
20,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
21,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
22,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
23,Cooper Tire,coopertire,Course,701 Lima,Findlay,cooperti701limafindlay
24,Cooper Tire,coopertire,Course,701 Lima Ave.,Findlay,cooperti701limaafindlay
25,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
26,Cooper Inside Sales Team,cooperinsidesalesteam,Course,1800 Westwood Blvd,Wausau,cooperin1800westwausau
27,Cooper Inside Sales Team,cooperinsidesalesteam,Course,1800 Westwood Blvd,Wausau,cooperin1800westwausau
28,Cooper Inside Sales Team,cooperinsidesalesteam,Course,1800 Westwood Boulevard,Wausau,cooperin1800westwausau
29,Cooper Inside Sales Team,cooperinsidesalesteam,Course,1800 Westwood Blvd,Wausau,cooperin1800westwausau
30,Cooper Inside Sales Team,cooperinsidesalesteam,Course,1800 Westwood Blvd.,Wausau,cooperin1800westwausau
31,Cooper Tire,coopertire,Course,223 King Farm Blvd,Rockville,cooperti223kingfrockvill
32,Cooper Tire & Rubber,coopertirerubber,Course,4832 Greenburg Drive,St.Charles,cooperti4832greestcharle
33,Cooper Tire,coopertire,Course,7896 East Hwy U.S. 10,Branch,cooperti7896eastbranch
34,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
35,Cooper Tire Company,coopertire,Course,701 Lima Ave.,Findlay,cooperti701limaafindlay
36,Cooper Tire Co,coopertire,Course,P.O. Box 9060,Woodland Park,coopertipobox906woodland
37,Cooper Tire,coopertire,Course,701 Lima Avenue,Findlay,cooperti701limaafindlay
38,Cooper Tire,coopertire,Course,750 Lima Ave.,Findlay,cooperti750limaafindlay
39,Cooper Tire,coopertire,Course,701 Lima Ave.,Findlay,cooperti701limaafindlay
40,Cooper Tire & Rubber Company,coopertirerubber,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
41,Cooper Tire,coopertire,Course,701 Lima Avenue,Findlay,cooperti701limaafindlay
42,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
43,Cooper Tire & Rubber,coopertirerubber,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
44,Cooper Tire,coopertire,Course,701 Lima Avenue,Findlay,cooperti701limaafindlay
45,Cooper Tire,coopertire,Course,2707 Elizondo Ave,Simi Valley,cooperti2707elizsimivall
46,Cooper Tire and Rubber,coopertireandrubber,Course,731 Lima Ave,findlay,cooperti731limaafindlay
47,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
48,Cooper Tire,coopertire,Course,box 550,Findlay,coopertibox550findlay
49,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
50,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
51,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
52,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
53,Cooper Tire,coopertire,Course,701 Lima Avenue,Findlay,cooperti701limaafindlay
54,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
55,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
56,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
57,Butler Learning Systems,butlerlearningsystems,Course,1235 W Dorothy Lane,Dayton,butlerle1235wdordayton
58,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
59,Cooper Tire,coopertire,Course,301 Lafayette St. Suite 3,Salem,cooperti301lafaysalem
60,Cooper Tire,coopertire,Course,72 Coral Root Lane,Eastsound,cooperti72coralreastsoun
61,Cooper Tire,coopertire,Course,4361 City Terrace Dr,Los Angeles,cooperti4361citylosangel
62,Cooper Tire & Rubber Company,coopertirerubber,Course,159 North Adams Street,Manchester,cooperti159northmanchest
63,Test Tire,testtire,Course,1234 Main St.,Columbus,testtire1234maincolumbus
64,Cooper Tire Mexico,coopertiremexico,Course,8999 Wayne St,Findlay,cooperti8999waynfindlay
65,Main Street Tires,mainstreettires,Course,16145 main street,lower lake,mainstre16145mailowerlak
66,LAKELAND COOPERATIVE,lakelandcooperative,Course,302 KNAPP ST,CHETEK,lakeland302knappchetek
67,POMPENDER'S AUTO,pompendersauto,Course,2852 RTE.20/ P.O. BOX 108,SHERIDAN,pompende2852rte2sheridan
68,Dannys Tire & Quick Lube,dannystirequicklube,Course,2053 S Shady St,Mountain City,dannysti2053sshamountain
69,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
70,Super Tire and Muffler,supertireandmuffler,Course,,,
71,Super Tire and Muffler,supertireandmuffler,Course,,,
72,Cooper Tire,coopertire,Course,557 Birch Mountain Rd,Manchester,cooperti557birchmanchest
73,U.S. AutoForce,usautoforce,Course,815 West 10th,pella,usautofo815west1pella
74,timbes tire,timbestire,Course,308 hwy 72,burnsville,timbesti308hwy72burnsvil
