,Dealer Number,Dealer Name,Store Address Line 1,Store City,Clean Name,Key
0,1799857,4 Corner Tire,4189 ST.HWY 30,AMSTERDAM,4cornertire,4cornert4189sthwamsterda
1,1795412,1 STOP AUTO REPAIR,7110 SOUTH FM 148,KAUFMAN,1stopautorepair,1stopaut7110soutkaufman
2,1798898,160 PIT STOP,PO BOX 828,GAINESVILLE,160pitstop,160pitstpobox828gainesvi
3,1800902,231 TIRE AUTO & DIESEL,12800 Hwy 411 North,Odenville,231tireautodiesel,231tirea12800hwyodenvill
4,1795342,3 C AUTOMOTIVE,5156 N. COUNTY RD 100E,OSGOOD,3cautomotive,3cautomo5156ncouosgood
5,1796143,3 MAN AUTOMOTIVE,1215 ROSEWOOD DRIVE,COLUMBIA,3manautomotive,3manauto1215rosecolumbia
6,1798741,3 Points Tire Service,1112 S Elm,Hastings,3pointstireservice,3pointst1112selmhastings
7,1798845,3-D Tire and Service Center,209 NORTH JACKSON STREET,GREENCASTLE,3dtireandservicecenter,3dtirean209northgreencas
8,1799530,300 TIRE & AUTO REPAIR,210 SOUTH BUCKEYE STREET,WOOSTER,300tireautorepair,300tirea210southwooster
9,1800649,309 AUTO AND TIRE,7022 ROUTE 309,NEW TRIPOLI,309autoandtire,309autoa7022routnewtripo
10,1801185,32ND STREET NEW & USED TIRES,111 32ND STREET,ASHLAND,32ndstreetnewusedtires,32ndstre11132ndsashland
11,1799253,"3W SERVICE CENTER, LLC",896 US HWY 84 W,TEAGUE,3wservicecenter,3wservic896ushwyteague
12,1800922,4-K TIRE,502 North Main Street,DELPHOS,4ktire,4ktire502northdelphos
13,1800931,4-M SERVICE INC.,2168 STATE HIGHWAY E,ROCKY COMFORT,4mservice,4mservic2168statrockycom
14,1800523,431 TIRE & AUTO SERVICE,4790 US HWY 431,ALEXANDRIA,431tireautoservice,431tirea4790ushwalexandr
15,1801051,46 Tire Service,3039 Highway 46 South,Dickson,46tireservice,46tirese3039highdickson
16,1798327,49 Tire Mart,3338 SIMPSON HWY 49,MENDENHALL,49tiremart,49tirema3338simpmendenha
17,1801017,548 TIRE LLC,5313 SEBRING WARNER,GREENVILLE,548tire,548tirel5313sebrgreenvil
18,2027078,6th Ave Tire Center,309 6th Ave Sw,Birmingham,6thavetirecenter,6thaveti3096thavbirmingh
19,1798517,9th STREET TIRE,203 North 9th Street,STROUDSBURG,9thstreettire,9thstree203northstroudsb
20,1798785,A & D TIRE CENTER,89 MACE PLACE,POTTSVILLE,adtirecenter,adtirece89maceplpottsvil
21,1801250,A & J TOWING & REPAIR,29098 448TH AVE.,VIBORG,ajtowingrepair,ajtowing29098448viborg
