,DealerName,Clean Name,Report
1,bergs garage inc,woolseystire,Performance
2,woolseys tire,winnscollision,Performance
3,winns collision,winnscollision,Performance
4,winns collision,caledoniagarage,Performance
5,caledonia garage inc,caledoniagarage,Performance
6,caledonia garage inc,brittstire,Performance
7,britt's tire ltd,brittstire,Performance
8,britt's tire ltd,leonardautomotive,Performance
9,leonard automotive llc,leonardautomotive,Performance
10,leonard automotive llc,quadei,Performance
11,quadei corporation,quadei,Performance
12,quadei corporation,redlinefinishingllc,Performance
13,redline finishing llc.,yellowstonedinoluberepair,Performance
14,yellowstone dino lube & repair,yellowstonedinoluberepair,Performance
15,yellowstone dino lube & repair,forbesauto,Performance
16,forbes auto inc,forbesauto,Performance
17,forbes auto inc,forbesauto,Performance
18,forbes auto inc,laporttirecenter,Performance
19,la port tire center,electricmotorservice,Performance
20,electric motor service,scottsserviceplace,Performance
21,scott's service place,grandetireco,Performance
22,"grande tire co., inc.",americanautotireservice,Performance
23,american auto & tire service,stanstirecenter,Performance
24,stan's tire center,hawleygarage,Performance
25,hawley garage,hawleygarage,Performance
26,hawley garage,hawleygarage,Performance
27,hawley garage,bergsgarage,Performance
28,bergs garage inc,bergsgarage,Performance
29,bergs garage inc,casteelstire,Performance
30,casteel's tire,brittstire,Performance
31,britt's tire ltd,brittstire,Performance
32,britt's tire ltd,kiddstireauto,Performance
33,kidds tire & auto,quadei,Performance
34,quadei corporation,quadei,Performance
35,quadei corporation,abcdaytontiresales,Performance
36,abc dayton tire sales,abcdaytontiresales,Performance
37,abc dayton tire sales,abcdaytontiresales,Performance
38,abc dayton tire sales,ralphstires,Performance
39,ralphs tires inc.,ralphstires,Performance
40,ralphs tires inc.,tonystireservice,Performance
41,tony's tire service,budgettire,Performance
42,"budget tire, inc",budgettire,Performance
43,"budget tire, inc",budgettire,Performance
44,"budget tire, inc",ramstireservice,Performance
45,ram's tire service,slusherfarmhome,Performance
46,slusher farm & home,slusherfarmhome,Performance
47,slusher farm & home,a1autotire,Performance
48,a-1 auto & tire,wesrogerstireauto,Performance
49,wes rogers tire & auto inc,pittsfordgastire,Performance
50,pittsford gas & tire,pittsfordgastire,Performance
51,pittsford gas & tire,shelbytireautocare,Performance
52,shelby tire & auto care,samsservicecenter,Performance
53,sam's service center,archstreetwheeltire,Performance
54,arch street wheel & tire,archstreetwheeltire,Performance
55,arch street wheel & tire,archstreetwheeltire,Performance
56,arch street wheel & tire,briggstirefarmservice,Performance
57,briggs tire & farm service,briggstirefarmservice,Performance
58,briggs tire & farm service,briggstirefarmservice,Performance
59,briggs tire & farm service,siestatire,Performance
60,siesta tire,siestatire,Performance
61,siesta tire,trottatiresii,Performance
62,trotta tires ii llc,trottatiresii,Performance
63,trotta tires ii llc,trottatiresii,Performance
