,DealerName,Clean Name,Report
0,Firebox Research,fireboxresearch,Course
1,Cooper Tire,coopertire,Course
2,Firebox Research,fireboxresearch,Course
3,Xcelerate Media,xceleratemedia,Course
4,Staples,staples,Course
5,Staples Promotional Products,staplespromotionalproducts,Course
6,Firebox Research & Strategy,fireboxresearchstrategy,Course
7,Cooper Tire,coopertire,Course
8,Cooper Tire,coopertire,Course
9,Cooper Tire,coopertire,Course
10,Cooper Tire,coopertire,Course
11,Cooper Tire,coopertire,Course
12,Cooper Tire,coopertire,Course
13,Cooper Tire,coopertire,Course
14,Cooper Tire,coopertire,Course
15,Cooper Tire,coopertire,Course
16,Cooper Tire,coopertire,Course
17,Cooper Tire,coopertire,Course
18,Cooper Tire,coopertire,Course
19,Cooper Tire,coopertire,Course
20,Cooper Tire,coopertire,Course
21,Cooper Tire,coopertire,Course
22,Cooper Tire,coopertire,Course
23,Cooper Tire,coopertire,Course
24,Cooper Tire,coopertire,Course
25,Cooper Tire,coopertire,Course
26,Cooper Inside Sales Team,cooperinsidesalesteam,Course
27,Cooper Inside Sales Team,cooperinsidesalesteam,Course
28,Cooper Inside Sales Team,cooperinsidesalesteam,Course
29,Cooper Inside Sales Team,cooperinsidesalesteam,Course
30,Cooper Inside Sales Team,cooperinsidesalesteam,Course
31,Cooper Tire,coopertire,Course
32,Cooper Tire & Rubber,coopertirerubber,Course
33,Cooper Tire,coopertire,Course
34,Cooper Tire,coopertire,Course
35,Cooper Tire Company,coopertirecompany,Course
36,Cooper Tire Co,coopertireco,Course
37,Cooper Tire,coopertire,Course
38,Cooper Tire,coopertire,Course
39,Cooper Tire,coopertire,Course
40,Cooper Tire & Rubber Company,coopertirerubbercompany,Course
41,Cooper Tire,coopertire,Course
42,Cooper Tire,coopertire,Course
43,Cooper Tire & Rubber,coopertirerubber,Course
44,Cooper Tire,coopertire,Course
45,Cooper Tire,coopertire,Course
46,Cooper Tire and Rubber,coopertireandrubber,Course
47,Cooper Tire,coopertire,Course
48,Cooper Tire,coopertire,Course
49,Cooper Tire,coopertire,Course
50,Cooper Tire,coopertire,Course
51,Cooper Tire,coopertire,Course
52,Cooper Tire,coopertire,Course
53,Cooper Tire,coopertire,Course
54,Cooper Tire,coopertire,Course
55,Cooper Tire,coopertire,Course
56,Cooper Tire,coopertire,Course
57,Butler Learning Systems,butlerlearningsystems,Course
58,Cooper Tire,coopertire,Course
59,Cooper Tire,coopertire,Course
60,Cooper Tire,coopertire,Course
61,Cooper Tire,coopertire,Course
62,Cooper Tire & Rubber Company,coopertirerubbercompany,Course
63,Test Tire,testtire,Course
64,Cooper Tire Mexico,coopertiremexico,Course
65,Main Street Tires,mainstreettires,Course
