,Business Name,Address,City,State,Membership/Store Number,Tire Brands Carried,Sales Group,Cooper Region,Date Registered,User Status,Points Earned,Courses Complete,Generated Key,Edit Distance,IsMatch,Activity Score,Heirarchy
4244,123 Tires,123 Fake Street,Toronto,Ontario,,Cooper,,,08/12/2016,Enabled,0.0,0,123tires123fakestoronto,18,NotDupe,No Activity,Unique
1187,123 Wholesale Tire,1630 Willingham Ave,Baldwin,Georgia,,Cooper,South Atlantic Territory 05,South Atlantic,03/04/2015,Enabled,95.0,7,123whole1630willbaldwin,20,NotDupe,Medium,Unique
2337,12th street auto care,2812 w 12th street,Sioux Falls,South Dakota,430876565555,Cooper,Mid West Territory 08,Midwest,08/26/2015,Enabled,79.0,8,12thstre2812w12tsiouxfal,2,Dupe,Medium,G
4076,12TH STREET AUTO CARE CENTER,2812 WEST 12TH STREET,SIOUX FALLS,South Dakota,430876565555,Cooper,Mid West Territory 08,Midwest,06/24/2016,Enabled,4.0,2,12thstre2812westsiouxfal,0,Dupe,Low,G
4060,12th Street Auto Care Center,2812 West 12th Street,Sioux Falls,South Dakota,430876565555,Cooper,Mid West Territory 08,Midwest,06/20/2016,Enabled,2.0,1,12thstre2812westsiouxfal,20,NotDupe,Low,G
5714,1983,204 east prairie street,Jerseyville,Illinois,1805617,Cooper,Mid West Territory 07,Midwest,09/12/2017,Enabled,25.0,4,1983204eastpjerseyvi,17,NotDupe,Low,Unique
5702,1 Stop Auto Shop,,,,,,,,,,,0,1stopautnannan,16,NotDupe,No Activity,Unique
5606,1st stop auto care,600 delzan pl,lexington,Kentucky,1803887,Cooper,South Central Territory 05,South Central,08/16/2017,Enabled,57.0,3,1ststopa600delzalexingto,0,Dupe,Low,G
2326,1st stop auto care,600 Delzan Pl,Lexington,Kentucky,187245,Cooper,South Central Territory 05,South Central,08/26/2015,Enabled,2252.0,79,1ststopa600delzalexingto,19,NotDupe,High,G
3230,1st Tire & Wheel Inc,2101 Southern Expressway,Cape Girardeau,Missouri,,Mastercraft,Mid West Territory 06,Midwest,01/13/2016,Enabled,235.0,11,1sttirew2101soutcapegira,0,Dupe,High,G
3228,1st Tire & Wheel Inc,2101 Southern Expressway,Cape Girardeau,Missouri,,Mastercraft,Mid West Territory 06,Midwest,01/13/2016,Enabled,135.0,7,1sttirew2101soutcapegira,0,Dupe,Medium,G
3224,1st Tire & Wheel Inc,2101 Southern Expressway,Cape Girardeau,Missouri,,Both,Mid West Territory 06,Midwest,01/12/2016,Enabled,4.0,2,1sttirew2101soutcapegira,0,Dupe,Low,G
1392,1st Tire & Wheel Inc,2101 Southern Expressway,Cape Girardeau,Missouri,,Mastercraft,Mid West Territory 06,Midwest,03/30/2015,Enabled,205.0,15,1sttirew2101soutcapegira,2,Dupe,High,G
3225,1st Tire & Wheel Inc,2101 Southern Expressway,Caper Girardeau,Missouri,,Mastercraft,Mid West Territory 06,Midwest,01/12/2016,Enabled,4.0,2,1sttirew2101soutcapergir,3,Dupe,Low,G
3233,1st Tire & Wheel Inc,2102 Southern Expressway,Cape Girardeau,Missouri,,Mastercraft,Mid West Territory 06,Midwest,01/13/2016,Enabled,4.0,1,1sttirew2102soutcapegira,20,NotDupe,Low,G
5682,2021,1241 Tutor Ln,EVANSVILLE,Indiana,1798568,Mastercraft,Mid West Territory 06,Midwest,08/30/2017,Enabled,923.0,62,20211241tutoevansvil,20,NotDupe,High,Unique
4418,258 TIRE,3790 US HWY 131 N,KALKASKA,Michigan,203843,Cooper,Mid West Territory 03,Midwest,10/11/2016,Enabled,270.0,11,258tire3790ushwkalkaska,0,Dupe,High,G
4568,258 TIRE,3790 US HWY 131 N,KALKASKA,Michigan,203843,Cooper,Mid West Territory 03,Midwest,11/25/2016,Enabled,4.0,1,258tire3790ushwkalkaska,15,NotDupe,Low,G
4471,270 Tire & Auto,820 NW. Hwy 270,Seiling,Oklahoma,,Cooper,South Central Territory 02,South Central,10/26/2016,Enabled,860.0,68,270tirea820nwhwyseiling,19,NotDupe,High,Unique
5540,360 Insights,420 Green St. suite 202,Whitby,Ontario,,Both,,,08/04/2017,Enabled,5.0,2,360insig420greenwhitby,21,NotDupe,Low,Unique
3549,4 corner tire co,4189 st hwy 30,Amsterdam,New York,782357,Mastercraft,Eastern Territory 05,Eastern,03/01/2016,Enabled,1290.0,88,4cornert4189sthwamsterda,21,NotDupe,High,Unique
3562,4-k tire,226 s pierce,delphos,Ohio,919537,Mastercraft,Mid West Territory 04,Midwest,03/03/2016,Enabled,45.0,5,4ktire226spierdelphos,18,NotDupe,Low,Unique
4611,4 States Tire and Service,41 N Edith St,Cortez,Colorado,,Cooper,Western Territory 01,Western,12/06/2016,Enabled,17.0,2,4statest41nedithcortez,13,NotDupe,Low,Unique
1973,4 States Tire And Service,480 S Camino Del Rio,Durango,Colorado,,Cooper,Western Territory 01,Western,06/03/2015,Enabled,1074.0,73,4statest480scamidurango,20,NotDupe,High,Unique
3732,548-Tire,5313 Sebring Warner Rd,Greenville,Ohio,931211,Mastercraft,Mid West Territory 06,Midwest,03/29/2016,Enabled,5.0,2,548tire5313sebrgreenvil,0,Dupe,Low,G
3737,548 Tire,5313 Sebring Warner Rd,Greenville,Ohio,,Both,Mid West Territory 06,Midwest,03/30/2016,Enabled,165.0,9,548tire5313sebrgreenvil,21,NotDupe,Medium,G
5172,665339,1802 37th Ave. So.,Fargo,North Dakota,,Cooper,Mid West Territory 08,Midwest,04/28/2017,Enabled,0.0,0,665339180237thfargo,17,NotDupe,No Activity,Unique
2696,903 Barton St. 3-7,903,,,,,,,,,,0,903barto903nan,18,NotDupe,No Activity,Unique
3317,A1QUALITY TIRE,400 E 3RD STREET,MUSCATINE,Iowa,440366,Both,Mid West Territory 05,Midwest,01/25/2016,Enabled,4.0,2,a1qualit400e3rdsmuscatin,20,NotDupe,Low,Unique
3850,A-1 Tire and Auto,1375 Florest Vista,crystal lake,Illinois,435798,Cooper,Mid West Territory 05,Midwest,04/27/2016,Enabled,616.0,38,a1tirean1375florcrystall,14,NotDupe,High,Unique
4942,A1 Tire and Wheel,1520- 11th Street W,Saskatoon,Saskatchewan,1811889,Cooper,,,02/22/2017,Enabled,1034.0,74,a1tirean152011thsaskatoo,16,NotDupe,High,Unique
4366,A1 Tires Limited,567 Willow St,Truro,Nova Scotia,,Cooper,,,09/21/2016,Enabled,2.0,1,a1tiresl567willotruro,16,NotDupe,Low,Unique
4078,A1 TIRE & WHEEL,150- 11TH STREET W,SASKATOON,Saskatchewan,840743,Cooper,,,06/28/2016,Enabled,811.0,63,a1tirewh15011thssaskatoo,2,Dupe,High,G
3201,A1 Tire & Wheel Co Ltd,1520 11th Street W,Saskatoon,Saskatchewan,840743,Cooper,,,01/07/2016,Enabled,1066.0,76,a1tirewh152011thsaskatoo,0,Dupe,High,G
1947,A1 Tire & Wheel Co Ltd,1520 11th Street W,Saskatoon,Saskatchewan,840743,Cooper,,,05/26/2015,Enabled,996.0,47,a1tirewh152011thsaskatoo,0,Dupe,High,G
1946,A1 Tire & Wheel Co Ltd,1520 11th Street W,Saskatoon,Saskatchewan,840743,Cooper,,,05/26/2015,Enabled,1050.0,78,a1tirewh152011thsaskatoo,0,Dupe,High,G
3195,A1 Tire & Wheel Co Ltd,1520 11th Street W,SASKATOON,Saskatchewan,840743,Cooper,,,01/07/2016,Enabled,870.0,64,a1tirewh152011thsaskatoo,0,Dupe,High,G
1897,A1 Tire & Wheel Co Ltd,1520 11th Street W,Saskatoon,Saskatchewan,840743,Cooper,,,05/14/2015,Enabled,25.0,3,a1tirewh152011thsaskatoo,0,Dupe,Low,G
4079,A1 TIRE & WHEEL,1520- 11TH STREET W,SASKATOON,Saskatchewan,840743,Cooper,,,06/28/2016,Enabled,1120.0,77,a1tirewh152011thsaskatoo,22,NotDupe,High,G
3932,AAA,2400 Sobeck Rd,Columbus,Ohio,924026,Cooper,Mid West Territory 04,Midwest,05/16/2016,Enabled,13.0,6,aaa2400sobecolumbus,20,NotDupe,Medium,Unique
2460,AAA Allied Group,3870 Kemp Rd,Beavercreek,Ohio,,Cooper,Mid West Territory 06,Midwest,09/21/2015,Enabled,5.0,2,aaaallie3870kempbeavercr,20,NotDupe,Low,Unique
4943,AAA Car Care Plus,2400 Sobeck Rd,columbus,Ohio,1812821,Cooper,Mid West Territory 04,Midwest,02/22/2017,Enabled,0.0,0,aaacarca2400sobecolumbus,0,Dupe,No Activity,G
4941,AAA Car Care Plus,2400 Sobeck Rd,Columbus,Ohio,1812821,Cooper,Mid West Territory 04,Midwest,02/22/2017,Enabled,45.0,4,aaacarca2400sobecolumbus,13,NotDupe,Low,G
4958,AAA Car Care Plus,8868 Moreland St,Powell,Ohio,54,Cooper,Mid West Territory 04,Midwest,02/28/2017,Enabled,200.0,8,aaacarca8868morepowell,15,NotDupe,Medium,Unique
3999,AAA Car Care Plus,90 E Wilson Bridge Rd,Worthington,Ohio,90241,Cooper,Mid West Territory 04,Midwest,05/26/2016,Enabled,1060.0,75,aaacarca90ewilsoworthing,19,NotDupe,High,Unique
5630,AAA OHIO AUTO CLUB,1335 Bethel Rd,Columbus,Ohio,57,Cooper,Mid West Territory 04,Midwest,08/22/2017,Enabled,5.0,3,aaaohioa1335bethcolumbus,8,NotDupe,Low,Unique
5532,AAA OHIO AUTO CLUB,2400 Sobeck Rd,Columbus,Ohio,64,Cooper,Mid West Territory 04,Midwest,08/03/2017,Enabled,5.0,2,aaaohioa2400sobecolumbus,21,NotDupe,Low,Unique
1890,AA Tires,1772 Hwy. 19 N.,Thomaston,Georgia,894866,Both,South Atlantic Territory 05,South Atlantic,05/14/2015,Enabled,45.0,7,aatires1772hwy1thomasto,15,NotDupe,Medium,Unique
5334,A&A Tires LLC,4099 NORTH VALLEY PIKE,ROCKINGHAM,Virginia,1795890,Mastercraft,South Atlantic Territory 04,South Atlantic,06/12/2017,Enabled,0.0,0,aatiresl4099nortrockingh,20,NotDupe,No Activity,Unique
2320,Abilene Tire & Service,5190 Buffalo Gap Rd,Abilene,Texas,217843,Cooper,South Central Territory 04,South Central,08/25/2015,Enabled,5.0,2,abilenet5190buffabilene,21,NotDupe,Low,Unique
5621,Accel Discount Tire,2103 Delray Street,Statesville,North Carolina,32206,Cooper,South Atlantic Territory 03,South Atlantic,08/21/2017,Enabled,385.0,21,acceldis2103delrstatesvi,17,NotDupe,High,Unique
4273,Ace Tire & Service,4 Drummond Ave,Waterville,Maine,,Cooper,Eastern Territory 01,Eastern,08/24/2016,Enabled,5.0,2,acetires4drummonwatervil,18,NotDupe,Low,Unique
5065,Action Towing and Automotive,9 douglas rd,Trenton,Ontario,1804813,Cooper,,,03/23/2017,Enabled,818.0,49,actionto9douglastrenton,0,Dupe,High,G
5485,Action towing and automotive,9 douglas rd,trenton,Ontario,1804813,Cooper,,,07/19/2017,Enabled,1004.0,74,actionto9douglastrenton,0,Dupe,High,G
5060,Action Towing and Automotive,9 douglas rd,Trenton,Ontario,1804813,Cooper,,,03/22/2017,Enabled,2.0,1,actionto9douglastrenton,18,NotDupe,Low,G
4296,Ada Alignment and Tire,,,,,,,,,,,0,adaalignnannan,18,NotDupe,No Activity,Unique
